evaluation,outer_group,regressor,feature_block,n_test,selected_params,mae,rmse,median_absolute_error,r2,P0,P3,P4,delta_04,delta_34
LOSFO,location,Ridge,P3,600,"{""alpha"": 10000.0}",0.0340080805830364,0.0547973162195748,0.0206371154692938,-0.0674549468138414,0.0382163933076069,0.0336918754428314,0.0411592762989307,-0.0029428829913238017,-0.007467400856099302
LOSFO,mcar,Ridge,P3,600,"{""alpha"": 10000.0}",0.0426366049599214,0.0675809656713686,0.0218909936283737,-0.0998430437399715,0.0452505413632033,0.0370823877869027,0.0460112076678973,-0.0007606663046939993,-0.008928819880994601
LOSFO,measurement_noise,Ridge,P3,600,"{""alpha"": 10000.0}",0.0283426796128397,0.035627860826391,0.024444523100023,-1.0998077368270214,0.0393586565903594,0.0389242934101617,0.0336514281541972,0.005707228436162198,0.005272865255964501
LOSFO,outliers,Ridge,P3,600,"{""alpha"": 1000.0}",0.0315198801962479,0.0510532975688516,0.0175592213909269,-0.0703965585219117,0.0364647657588673,0.0387442653844486,0.0375278689364214,-0.0010631031775540992,0.0012163964480272002
LOSFO,scale,Ridge,P3,600,"{""alpha"": 10000.0}",0.0322979575362531,0.0448855863991162,0.0246915818506221,-0.8679272092366614,0.0385190393370609,0.0287608146359778,0.0335886410886438,0.004930398248417095,-0.004827826452666002
LOSFO,class_prevalence,Ridge,P4,600,"{""alpha"": 1000.0}",0.0641636421078793,0.0915927067319347,0.0407022609195196,-0.0609245459571539,0.0684624743986076,0.0613376014892596,0.0674832523535558,0.0009792220450517974,-0.0061456508642962066
LOSFO,local_overlap,Ridge,P4,600,"{""alpha"": 1000.0}",0.0660114310268447,0.1290501260530827,0.0158553334243182,-0.2122212286347198,0.0684297886405649,0.064553241556901,0.064266091113588,0.0041636975269769005,0.00028715044331299733
LOSFO,location,Ridge,P4,600,"{""alpha"": 1000.0}",0.0356214166360257,0.0574962295845939,0.0231084971317799,-0.1751943873368533,0.0382163933076069,0.0336918754428314,0.0411592762989307,-0.0029428829913238017,-0.007467400856099302
LOSFO,mcar,Ridge,P4,600,"{""alpha"": 10000.0}",0.04263472243879,0.0679487841525417,0.0213823419052152,-0.111847710514265,0.0452505413632033,0.0370823877869027,0.0460112076678973,-0.0007606663046939993,-0.008928819880994601
LOSFO,measurement_noise,Ridge,P4,600,"{""alpha"": 1000.0}",0.0309371905749163,0.038308470265608,0.0285528381617995,-1.4276700327317453,0.0393586565903594,0.0389242934101617,0.0336514281541972,0.005707228436162198,0.005272865255964501
LOSFO,outliers,Ridge,P4,600,"{""alpha"": 10000.0}",0.0342947973147868,0.0560492325873066,0.0179091377644667,-0.2901388343863498,0.0364647657588673,0.0387442653844486,0.0375278689364214,-0.0010631031775540992,0.0012163964480272002
LOSFO,scale,Ridge,P4,600,"{""alpha"": 1000.0}",0.0310857890914696,0.0446149635683717,0.0229989187791183,-0.8454710086875994,0.0385190393370609,0.0287608146359778,0.0335886410886438,0.004930398248417095,-0.004827826452666002
