dataset,heldout_outer_fold,feature_block,n_train,n_test,grouping,selected_params,mae,rmse,median_absolute_error,r2
glass,3,P4,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.04520433156650816,0.05167108677225418,0.043656213934469654,0.04849095377244372
glass,4,P4,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 300, ""max_leaf_nodes"": 7}",0.041520278297138856,0.054732195343040003,0.03516270339410916,-0.49261516397471916
human_activity_recognition,0,B0_median,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""constant"": 0.0048133641283123006}",0.014902167738932761,0.02380769666770778,0.00797128760345625,-0.07915501387085411
human_activity_recognition,1,B0_median,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""constant"": 0.0044305939425662}",0.015763589491159843,0.023306861736725065,0.00950107913075105,-0.3287805456190329
human_activity_recognition,2,B0_median,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""constant"": 0.0058497133188763}",0.011633291938572467,0.016483216928441163,0.00737654219227615,-0.03889626691476589
human_activity_recognition,3,B0_median,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""constant"": 0.00480496797907975}",0.010777157568989162,0.016995408683523575,0.00641206434705645,-0.09629758773799946
human_activity_recognition,4,B0_median,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""constant"": 0.00686701454170705}",0.011666782946642158,0.017259798469801496,0.00694148703554307,-0.033146931503143184
human_activity_recognition,0,P0,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.01555353313373728,0.025135850156855388,0.00735425451798861,-0.20291856946280618
human_activity_recognition,1,P0,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.0163251348821646,0.023498137027636562,0.012204617857666758,-0.35068017528356554
human_activity_recognition,2,P0,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.013080307318998934,0.01815475293581967,0.009265736807256956,-0.2602854530236829
human_activity_recognition,3,P0,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.012255402978074516,0.017582123053986456,0.010620575950960245,-0.1732967407370578
human_activity_recognition,4,P0,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.011697202988587356,0.01754100821430939,0.008104588574410529,-0.06708681334839417
human_activity_recognition,0,P2,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0.016885161900777306,0.02674858025190579,0.009266277241108324,-0.3622303220891241
human_activity_recognition,1,P2,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 15}",0.01863624179524189,0.02457563189384835,0.015095576768054796,-0.47738963603799967
human_activity_recognition,2,P2,280,70,outer fold held out; inner GroupKFold on outer_fold|condition keeps all seeds of a scenario together,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 15}",0.018323782439002217,0.023393993963783995,0.014729631228179947,-1.0926518624385486
