grouping_level,n_rows,source_converged_count,source_convergence_rate,candidate_converged_count,candidate_convergence_rate,both_converged_count,both_convergence_rate,usable_count,usable_nonconverged_count,dataset_id,outer_fold,condition,severity,seed
dataset_condition,25,25,1.0,24,0.96,24,0.96,25,1,satimage,,outliers_mild,,
dataset_condition,25,25,1.0,21,0.84,21,0.84,25,4,satimage,,outliers_severe,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,satimage,,scale_mild,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,satimage,,scale_severe,,
dataset_condition,25,24,0.96,25,1.0,24,0.96,25,1,sonar,,class_prevalence_mild,,
dataset_condition,25,24,0.96,25,1.0,24,0.96,25,1,sonar,,class_prevalence_severe,,
dataset_condition,25,24,0.96,25,1.0,24,0.96,25,1,sonar,,clean,,
dataset_condition,25,24,0.96,25,1.0,24,0.96,25,1,sonar,,local_overlap_mild,,
dataset_condition,25,24,0.96,25,1.0,24,0.96,25,1,sonar,,local_overlap_severe,,
dataset_condition,25,24,0.96,25,1.0,24,0.96,25,1,sonar,,location_mild,,
dataset_condition,25,24,0.96,25,1.0,24,0.96,25,1,sonar,,location_severe,,
dataset_condition,25,24,0.96,25,1.0,24,0.96,25,1,sonar,,mcar_mild,,
dataset_condition,25,24,0.96,25,1.0,24,0.96,25,1,sonar,,mcar_severe,,
dataset_condition,25,24,0.96,24,0.96,23,0.92,25,2,sonar,,measurement_noise_mild,,
dataset_condition,25,24,0.96,25,1.0,24,0.96,25,1,sonar,,measurement_noise_severe,,
dataset_condition,25,24,0.96,25,1.0,24,0.96,25,1,sonar,,outliers_mild,,
dataset_condition,25,24,0.96,25,1.0,24,0.96,25,1,sonar,,outliers_severe,,
dataset_condition,25,24,0.96,25,1.0,24,0.96,25,1,sonar,,scale_mild,,
dataset_condition,25,24,0.96,25,1.0,24,0.96,25,1,sonar,,scale_severe,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,spambase,,class_prevalence_mild,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,spambase,,class_prevalence_severe,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,spambase,,clean,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,spambase,,local_overlap_mild,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,spambase,,local_overlap_severe,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,spambase,,location_mild,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,spambase,,location_severe,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,spambase,,mcar_mild,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,spambase,,mcar_severe,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,spambase,,measurement_noise_mild,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,spambase,,measurement_noise_severe,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,spambase,,outliers_mild,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,spambase,,outliers_severe,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,spambase,,scale_mild,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,spambase,,scale_severe,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,waveform,,class_prevalence_mild,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,waveform,,class_prevalence_severe,,
dataset_condition,25,25,1.0,25,1.0,25,1.0,25,0,waveform,,clean,,
