evaluation,outer_group,regressor,feature_block,n_test,selected_params,sum_absolute_error,sum_squared_error,sum_observed,sum_observed_squared,mae,rmse,median_absolute_error,r2,replication_arm
LODO,spambase,HGBR,P3,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",48.914742165014815,8.983304840573428,6.705295519242272,1.474987699041809,0.1397564061857566,0.1602079438067327,0.14394508349225268,-5.6714592044688565,fully_corrected_600
LODO,waveform,HGBR,P3,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",8.46786093634972,0.28643346053116314,0.44455259891158244,0.06296780453922166,0.024193888389570626,0.028607364712663123,0.021915661399270002,-3.590047670859664,fully_corrected_600
LODO,breast_cancer_wisconsin_diagnostic,HGBR,P3_delta,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",31.85644828898021,6.749343557280104,24.79551718695425,7.546388230070681,0.09101842368280061,0.1388662620476479,0.0540055510589275,-0.1657367841313344,fully_corrected_600
LODO,glass,HGBR,P3_delta,350,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",18.240123596451795,1.5983035773180856,-2.1507952148775282,0.6455073899146908,0.05211463884700513,0.0675764874011682,0.041061673462254464,-1.527799546774863,fully_corrected_600
LODO,human_activity_recognition,HGBR,P3_delta,349,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",9.337859719748757,0.5043163942959329,2.4108697516040163,0.22372230913297403,0.02675604504226005,0.038013585050773825,0.017617959561301876,-1.4355089589229295,fully_corrected_600
LODO,iris,HGBR,P3_delta,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",31.45391597968154,5.242962423231393,5.0524634655900345,7.096598107036339,0.08986833137051868,0.12239237164874281,0.05850576287000789,0.2535287305678373,fully_corrected_600
LODO,letter_recognition,HGBR,P3_delta,296,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",9.172846508569851,0.4976489507854903,3.440029388405006,0.1424060653959364,0.030989346312735984,0.04100300544297194,0.025358218093358247,-3.8585717796843406,fully_corrected_600
LODO,madelon,HGBR,P3_delta,350,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",7.164096902362054,0.29540983185976877,1.180246735970682,0.02543812325876131,0.020468848292463013,0.029052161555173664,0.015402417139977188,-12.766774212465105,fully_corrected_600
LODO,mice_protein_expression,HGBR,P3_delta,350,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",6.129603991183281,0.2104592875881454,1.4730447006798033,0.20220494714804643,0.017513154260523658,0.02452166899401107,0.012362618833059495,-0.07374259308652786,fully_corrected_600
LODO,pendigits,HGBR,P3_delta,350,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",15.85605419933841,1.6377662781701057,8.03474265761787,2.1078684154484226,0.04530301199810974,0.0684056446745673,0.01811109773314637,0.1485132582052603,fully_corrected_600
LODO,satimage,HGBR,P3_delta,350,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",12.98971372125298,1.0961227089171137,12.417447334371666,1.30536511783394,0.03711346777500851,0.05596230131378275,0.02516272801643494,-0.26746687335910124,fully_corrected_600
LODO,sonar,HGBR,P3_delta,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",11.522646928076277,0.9247201133790228,-3.0232963202821077,0.6857004758673672,0.03292184836593222,0.05140094811185109,0.02174551115023186,-0.4019720417917618,fully_corrected_600
LODO,spambase,HGBR,P3_delta,350,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",18.02221636888696,2.2090535479959335,6.705295519242272,1.474987699041809,0.05149204676824845,0.07944546283899835,0.028759155746369475,-0.6405555513800547,fully_corrected_600
LODO,waveform,HGBR,P3_delta,350,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",9.740319924233908,0.6053927389878526,0.44455259891158244,0.06296780453922166,0.02782948549781117,0.04158958451301591,0.013852215509051823,-8.701316062702883,fully_corrected_600
LODO,breast_cancer_wisconsin_diagnostic,HGBR,P4,350,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",32.94073652415457,6.962638005996764,24.79551718695425,7.546388230070681,0.09411639006901307,0.14104343815188652,0.06193030516620455,-0.20257669050294402,fully_corrected_600
LODO,glass,HGBR,P4,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",12.702807905151726,0.8613676831783816,-2.1507952148775282,0.6455073899146908,0.036293736871862076,0.04960897623784233,0.028264975117024155,-0.36229741961686157,fully_corrected_600
LODO,human_activity_recognition,HGBR,P4,349,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",8.542468587528921,0.3866612703074465,2.4108697516040163,0.22372230913297403,0.02447698735681639,0.033285311314527374,0.01702739676699091,-0.8673138501020194,fully_corrected_600
LODO,iris,HGBR,P4,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",35.659923420707926,6.958556196404448,5.0524634655900345,7.096598107036339,0.10188549548773693,0.1410020891071623,0.06325182591999585,0.009269596453901352,fully_corrected_600
LODO,letter_recognition,HGBR,P4,296,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",7.234759178402022,0.25206694661387546,3.440029388405006,0.1424060653959364,0.024441753981087912,0.029181801218296548,0.023994545296331205,-1.4609422997402648,fully_corrected_600
LODO,madelon,HGBR,P4,350,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",27.09776310974365,2.904432746615412,1.180246735970682,0.02543812325876131,0.07742218031355329,0.09109544047889573,0.07790859394766118,-134.35321281021209,fully_corrected_600
